app_id,tag
9350,Base Building
9350,Classic
9350,Co-op
9350,Great Soundtrack
9350,Multiplayer
9350,Real-Time
9350,Real-Time with Pause
9350,Robots
9350,RTS
9350,Sci-fi
9350,Singleplayer
9350,Space
9350,Strategy
9350,War
9420,Action
9420,Adventure
9420,Base Building
9420,Classic
9420,Co-op
9420,Competitive
9420,Grand Strategy
9420,Great Soundtrack
9420,Moddable
9420,Multiplayer
9420,Online Co-Op
9420,Real-Time
9420,Real-Time with Pause
9420,Robots
9420,RTS
9420,Sci-fi
9420,Singleplayer
9420,Space
9420,Strategy
9420,War
9460,Action
9460,Co-op
9460,Controller
9460,First-Person
9460,FPS
9460,Gore
9460,Military
9460,Multiplayer
9460,Open World
9460,Shooter
9460,Singleplayer
9460,War
9480,Action
9480,Adventure
9480,Character Customization
9480,Co-op
9480,Co-op Campaign
9480,Comedy
9480,Crime
9480,Female Protagonist
9480,Funny
9480,Great Soundtrack
9480,Moddable
9480,Multiplayer
9480,Online Co-Op
9480,Open World
9480,Replay Value
9480,Sandbox
9480,Shooter
9480,Singleplayer
9480,Third Person
9480,Third-Person Shooter
9880,Action
9880,Action RPG
9880,Adventure
9880,Character Customization
9880,Co-op
9880,Comic Book
9880,Controller
9880,FPS
9880,Free to Play
9880,Massively Multiplayer
9880,MMORPG
9880,Multiplayer
9880,Online Co-Op
9880,Open World
9880,PvP
9880,RPG
9880,Sci-fi
9880,Singleplayer
9880,Superhero
9880,Third Person
9900,Action
9900,Action RPG
9900,Adventure
9900,Character Customization
9900,Co-op
9900,Free to Play
9900,Massively Multiplayer
9900,MMORPG
9900,Multiplayer
9900,Online Co-Op
9900,Open World
9900,PvE
9900,PvP
9900,RPG
9900,Sci-fi
9900,Singleplayer
9900,Space
9900,Strategy
9900,Tactical
9900,Third Person
10090,Action
10090,Adventure
10090,Classic
10090,Co-op
10090,First-Person
10090,FPS
10090,Gore
10090,Great Soundtrack
10090,Historical
10090,Horror
10090,Moddable
10090,Multiplayer
10090,Online Co-Op
10090,Shooter
10090,Singleplayer
10090,Survival
10090,Tanks
